case_id,crime_category,crime_subcategory,scenario,complexity,station_id,assigned_officer,priority,status,solved,expected_victims,expected_accused,expected_witnesses,expected_evidence,expected_timeline_events
CASE001,Narcotics,Drug Possession,"During a patrol near Angol Galli, suspect was found in possession of contraband substances.",High,PS043,OFF211,High,Chargesheet Filed,Yes,1,2,5,5,6
CASE002,Fraud,Financial Fraud,The victim was cheated of Rs. 349000 by promising high returns on investment.,Medium,PS042,OFF206,High,Under Investigation,No,1,1,2,3,7
CASE003,Robbery,Armed Robbery,An incident of Armed Robbery occurred near Electronic City Flyover Road causing damage and loss.,Medium,PS012,OFF056,High,Trial in Progress,Yes,1,1,2,3,11
CASE004,Missing Person,Adult Missing,A child went missing from near ISKCON Temple Rajajinagar while playing outside.,Medium,PS019,OFF091,Critical,Evidence Collection,No,1,0,2,2,5
CASE005,Sexual Offence,Sexual Assault,An unknown person assaulted the victim at a secluded spot near Banaswadi Galli.,High,PS008,OFF036,Critical,Trial in Progress,Yes,3,3,2,2,5
CASE006,Vehicle Theft,Two Wheeler Theft,An unknown person stole the complainant's parked Hyundai i20 bearing registration number KA-34-NJ-4583 from Bendoorwell Main Road.,Medium,PS042,OFF207,Medium,Under Investigation,No,1,0,2,4,11
CASE007,Missing Person,Child Missing,A child went missing from near Nexus Mall Koramangala while playing outside.,Medium,PS020,OFF097,Critical,Evidence Collection,No,1,0,1,1,6
CASE008,Vehicle Theft,Two Wheeler Theft,The victim noticed that their parked Mahindra Scorpio-N bearing registration number KA-14-ND-7233 was missing from near St. Mark's Cathedral.,Low,PS003,OFF011,Medium,Registered,No,1,1,1,4,11
CASE009,Cyber Crime,UPI Fraud,Victim's social media account was hacked and misuse reported from Nazarbad Bypass Road.,Low,PS035,OFF171,Medium,Trial in Progress,Yes,1,1,1,2,10
CASE010,Vehicle Theft,Four Wheeler Theft,The victim noticed that their parked Yamaha MT-15 bearing registration number KA-49-MN-8306 was missing from near Karanji Lake Mysuru.,Low,PS037,OFF181,Medium,Under Investigation,No,1,2,2,5,11
CASE011,Fraud,Financial Fraud,Accused impersonated a bank official to fraudulently transfer money from the victim's account.,Medium,PS039,OFF191,High,Evidence Collection,No,1,1,1,3,7
CASE012,Sexual Offence,Sexual Assault,An unknown person assaulted the victim at a secluded spot near New BEL Road Lane.,High,PS006,OFF026,Critical,Case Committed to Court,Yes,1,3,4,2,12
CASE013,Cyber Crime,Phishing,Complainant received phishing messages and lost Rs. 255000 in an online scam.,Medium,PS021,OFF102,Medium,Under Investigation,No,2,2,2,5,11
CASE014,Fraud,Financial Fraud,Accused impersonated a bank official to fraudulently transfer money from the victim's account.,Medium,PS004,OFF016,High,Under Investigation,No,1,2,2,2,7
CASE015,Domestic Violence,Physical Abuse,The victim reported that they were physically assaulted by their spouse at Vidyaranyapura Double Road following a domestic dispute.,Medium,PS011,OFF052,High,Under Investigation,No,1,2,1,1,6
CASE016,Fraud,Financial Fraud,The victim was cheated of Rs. 321000 by promising high returns on investment.,Medium,PS013,OFF061,High,Under Investigation,No,1,2,1,5,9
CASE017,Domestic Violence,Physical Abuse,The victim reported that they were physically assaulted by their spouse at Srinagar Cross Road following a domestic dispute.,High,PS005,OFF022,High,Under Investigation,No,1,2,4,3,8
CASE018,Narcotics,Drug Possession,"During a patrol near Uttarahalli Club Road, suspect was found in possession of contraband substances.",Medium,PS013,OFF062,High,Convicted,Yes,3,3,2,2,6
CASE019,Vehicle Theft,Two Wheeler Theft,An unknown person stole the complainant's parked Volkswagen Virtus bearing registration number KA-05-RL-3117 from Vidyagiri 4th Station Road.,Medium,PS049,OFF242,Medium,Chargesheet Filed,Yes,1,1,2,2,10
CASE020,Fraud,Financial Fraud,Accused impersonated a bank official to fraudulently transfer money from the victim's account.,Medium,PS007,OFF032,High,Trial in Progress,Yes,1,1,2,4,8
CASE021,Cyber Crime,Phishing,Victim's social media account was hacked and misuse reported from Hebbal Kempapura Main Road.,Medium,PS029,OFF141,Medium,Chargesheet Filed,Yes,1,2,3,5,8
CASE022,Missing Person,Child Missing,Complainant reported that their family member went missing from near Siddharoodha Math and remains untraceable.,High,PS046,OFF227,Critical,Chargesheet Filed,Yes,1,1,3,1,5
CASE023,Cyber Crime,Identity Theft,Complainant received phishing messages and lost Rs. 151000 in an online scam.,Medium,PS017,OFF082,Medium,Under Investigation,No,2,1,3,3,9
CASE024,Robbery,Armed Robbery,An incident of Armed Robbery occurred near Udyambag Main Road causing damage and loss.,Medium,PS044,OFF216,High,Case Committed to Court,Yes,1,1,2,3,8
CASE025,Assault,Simple Assault,"A physical altercation broke out at Harlur Road 4th Ring Road between the accused and the victim, resulting in injuries to the victim.",High,PS016,OFF076,High,Under Investigation,No,2,1,2,4,7
CASE026,Fraud,Financial Fraud,The victim was cheated of Rs. 414000 by promising high returns on investment.,High,PS024,OFF117,High,Under Investigation,No,1,1,2,5,7
CASE027,Narcotics,Drug Possession,"Based on a tip-off, raid conducted at Domlur Station Road resulted in seizure of illegal drug packets.",Medium,PS018,OFF087,High,Under Investigation,No,1,2,4,4,9
CASE028,Domestic Violence,Physical Abuse,Complainant reported constant harassment and physical abuse at Mall of Mysore.,High,PS037,OFF181,High,Under Investigation,No,1,1,3,1,6
CASE029,Theft,Residential Theft,An unknown person entered Mathikere Club Road and stole valuables valued at approximately Rs. 152000.,Low,PS008,OFF037,Medium,Chargesheet Filed,Yes,1,2,1,4,9
CASE030,Domestic Violence,Physical Abuse,The victim reported that they were physically assaulted by their spouse at Lalbagh Botanical Garden following a domestic dispute.,Medium,PS021,OFF101,High,Under Investigation,No,1,1,2,2,8
CASE031,Robbery,Armed Robbery,An incident of Armed Robbery occurred near Nehru Nagar Junction Road causing damage and loss.,Medium,PS044,OFF217,High,Registered,No,1,0,1,4,9
CASE032,Burglary,House Breaking,"The lock of the house located at Kalasipalyam Main Road was broken, and valuables were stolen while the family was away.",Medium,PS016,OFF076,High,Trial in Progress,Yes,1,2,1,5,9
CASE033,Vehicle Theft,Four Wheeler Theft,The victim noticed that their parked Royal Enfield Bullet 350 bearing registration number KA-10-TC-9501 was missing from near Majestic Galli.,Medium,PS008,OFF037,Medium,Chargesheet Filed,Yes,1,1,2,4,6
CASE034,Vehicle Theft,Four Wheeler Theft,The victim noticed that their parked Tata Altroz bearing registration number KA-11-PA-3273 was missing from near Karanji Lake.,Low,PS005,OFF021,Medium,Under Investigation,No,1,0,1,4,6
CASE035,Fraud,Financial Fraud,The victim was cheated of Rs. 205000 by promising high returns on investment.,Medium,PS031,OFF151,High,Under Investigation,No,2,1,2,2,10
CASE036,Sexual Offence,Sexual Assault,Victim complained of sexual harassment and assault by the accused near Gandhi Nagar Dharwad Bazaar Street.,Medium,PS049,OFF242,Critical,Under Investigation,No,2,1,4,5,5
CASE037,Missing Person,Child Missing,Complainant reported that their family member went missing from near Singasandra 3th Station Road and remains untraceable.,High,PS015,OFF071,Critical,Under Investigation,No,1,0,3,2,8
CASE038,Cyber Crime,Identity Theft,Complainant received phishing messages and lost Rs. 316000 in an online scam.,Low,PS039,OFF192,Medium,Chargesheet Filed,Yes,1,2,2,5,10
CASE039,Domestic Violence,Physical Abuse,Complainant reported constant harassment and physical abuse at Nehru Nagar Junction Road.,Medium,PS043,OFF212,High,Under Investigation,No,1,1,3,3,10
CASE040,Vehicle Theft,Two Wheeler Theft,An unknown person stole the complainant's parked Kia Seltos bearing registration number KA-28-SA-3185 from ITPL Main Road.,Medium,PS021,OFF101,Medium,Case Committed to Court,Yes,1,2,3,5,9
CASE041,Fraud,Financial Fraud,The victim was cheated of Rs. 172000 by promising high returns on investment.,Medium,PS040,OFF197,High,Case Committed to Court,Yes,1,1,1,4,8
CASE042,Kidnapping,Kidnapping,The victim was abducted by unidentified persons in a vehicle from Kathriguppe Highway.,High,PS011,OFF052,Critical,Under Investigation,No,2,1,4,3,10
CASE043,Vehicle Theft,Four Wheeler Theft,An unknown person stole the complainant's parked Tata Harrier bearing registration number KA-38-PB-8327 from Kadugodi 3th Junction Road.,Medium,PS024,OFF117,Medium,Trial in Progress,Yes,1,1,2,5,7
CASE044,Burglary,House Breaking,"The lock of the house located at BBMP Head Office Corporation Circle was broken, and valuables were stolen while the family was away.",High,PS017,OFF081,High,Evidence Collection,No,1,0,1,5,8
CASE045,Vehicle Theft,Two Wheeler Theft,An unknown person stole the complainant's parked Toyota Fortuner bearing registration number KA-11-NV-7511 from Harlur Road 4th Ring Road.,Medium,PS011,OFF051,Medium,Chargesheet Filed,Yes,1,1,1,2,7
CASE046,Vehicle Theft,Four Wheeler Theft,An unknown person stole the complainant's parked Mahindra Thar bearing registration number KA-06-NK-3351 from 100 Feet Road Koramangala.,Medium,PS018,OFF086,Medium,Evidence Collection,No,1,1,1,4,6
CASE047,Narcotics,Drug Possession,"Based on a tip-off, raid conducted at Bhagya Nagar Ring Road resulted in seizure of illegal drug packets.",Medium,PS044,OFF217,High,Chargesheet Filed,Yes,3,1,2,4,5
CASE048,Cyber Crime,Identity Theft,Complainant received phishing messages and lost Rs. 274000 in an online scam.,Medium,PS023,OFF111,Medium,Evidence Collection,No,1,2,1,3,12
CASE049,Vehicle Theft,Four Wheeler Theft,An unknown person stole the complainant's parked Maruti Suzuki Ertiga bearing registration number KA-40-MR-2393 from St. Mark's Cathedral.,Medium,PS023,OFF112,Medium,Registered,No,1,1,1,3,6
CASE050,Missing Person,Child Missing,A child went missing from near St. John's Medical College Hospital while playing outside.,Medium,PS019,OFF092,Critical,Chargesheet Filed,Yes,1,1,1,1,5
CASE051,Vehicle Theft,Four Wheeler Theft,An unknown person stole the complainant's parked Suzuki Access 125 bearing registration number KA-47-QR-8498 from Hebbal Mysuru Lane.,Medium,PS036,OFF177,Medium,Evidence Collection,No,1,2,2,5,9
CASE052,Missing Person,Child Missing,Complainant reported that their family member went missing from near Benson Town Bazaar Street and remains untraceable.,High,PS023,OFF111,Critical,Under Investigation,No,1,0,3,1,4
CASE053,Vehicle Theft,Two Wheeler Theft,The victim noticed that their parked Maruti Suzuki WagonR bearing registration number KA-47-TE-4148 was missing from near Kammanahalli Main Road.,Low,PS009,OFF041,Medium,Under Investigation,No,1,0,1,4,11
CASE054,Kidnapping,Kidnapping,The victim was abducted by unidentified persons in a vehicle from Kadirenahalli 2th Cross Road.,High,PS020,OFF096,Critical,Under Investigation,No,2,1,5,5,9
CASE055,Fraud,Financial Fraud,Accused impersonated a bank official to fraudulently transfer money from the victim's account.,High,PS021,OFF102,High,Convicted,Yes,1,2,3,3,10
CASE056,Burglary,House Breaking,Accused broke into the shop at 100 Feet Road Indiranagar late at night and stole cash and items.,Medium,PS016,OFF076,High,Under Investigation,No,1,0,1,3,11
CASE057,Theft,Commercial Theft,An unknown person entered Bannimantap Bypass Road and stole valuables valued at approximately Rs. 279000.,Medium,PS033,OFF162,Medium,Evidence Collection,No,1,0,3,4,10
CASE058,Cyber Crime,Phishing,Complainant received phishing messages and lost Rs. 206000 in an online scam.,Medium,PS006,OFF026,Medium,Closed,Yes,2,2,2,3,8
CASE059,Kidnapping,Kidnapping,"The child was reported missing from Kaikondrahalli Lane, later confirmed as a kidnapping call.",High,PS002,OFF006,Critical,Under Investigation,No,1,1,5,5,10
CASE060,Robbery,Armed Robbery,An incident of Armed Robbery occurred near Hanumanthnagar Junction Road causing damage and loss.,High,PS008,OFF037,High,Trial in Progress,Yes,1,1,3,2,6
CASE061,Domestic Violence,Physical Abuse,Complainant reported constant harassment and physical abuse at Shahapur Belagavi Galli.,Medium,PS043,OFF211,High,Chargesheet Filed,Yes,1,1,4,1,6
CASE062,Murder,Homicide,The victim was fatally attacked at Kalasipalyam Main Road following a dispute.,Medium,PS001,OFF001,Critical,Evidence Collection,No,2,3,4,5,11
CASE063,Missing Person,Child Missing,A child went missing from near Devaraja Mohalla Link Road while playing outside.,Medium,PS032,OFF156,Critical,Under Investigation,No,1,0,3,2,4
CASE064,Missing Person,Child Missing,A child went missing from near Silk Board Main Road while playing outside.,High,PS024,OFF117,Critical,Acquitted,Yes,1,1,3,1,7
CASE065,Public Disorder,Rioting,Altercation between groups near Kasavanahalli Cross Road disturbed public peace and order.,Medium,PS025,OFF121,Medium,Under Investigation,No,1,1,3,4,11
CASE066,Domestic Violence,Physical Abuse,The victim reported that they were physically assaulted by their spouse at Basavanagudi 4th Junction Road following a domestic dispute.,High,PS012,OFF057,High,Under Investigation,No,1,1,1,1,10
CASE067,Cyber Crime,Identity Theft,Complainant received phishing messages and lost Rs. 274000 in an online scam.,Medium,PS028,OFF137,Medium,Chargesheet Filed,Yes,2,1,1,5,8
CASE068,Domestic Violence,Physical Abuse,Complainant reported constant harassment and physical abuse at Sadashivanagar Temple Road.,Medium,PS023,OFF111,High,Under Investigation,No,1,2,1,2,7
CASE069,Cyber Crime,UPI Fraud,Victim's social media account was hacked and misuse reported from Garuda Mall Magrath Road.,Low,PS016,OFF077,Medium,Acquitted,Yes,1,2,1,5,12
CASE070,Robbery,Armed Robbery,An incident of Armed Robbery occurred near Chamundeshwari Temple Chamundi Hill causing damage and loss.,High,PS034,OFF166,High,Under Investigation,No,1,2,2,3,11
CASE071,Murder,Homicide,The victim was fatally attacked at JP Nagar Mysuru Ring Road following a dispute.,High,PS032,OFF157,Critical,Trial in Progress,Yes,1,1,4,7,11
CASE072,Murder,Homicide,The victim was fatally attacked at Jayanagar Metro Station following a dispute.,High,PS014,OFF066,Critical,Under Investigation,No,1,2,6,4,10
CASE073,Vehicle Theft,Two Wheeler Theft,An unknown person stole the complainant's parked Toyota Innova Crysta bearing registration number KA-43-MT-6486 from Sarjapur Road Cross Road.,Low,PS001,OFF001,Medium,Chargesheet Filed,Yes,1,1,3,3,10
CASE074,Cyber Crime,UPI Fraud,Complainant received phishing messages and lost Rs. 205000 in an online scam.,Medium,PS030,OFF146,Medium,Evidence Collection,No,1,1,1,5,9
CASE075,Narcotics,Drug Possession,"During a patrol near Outer Ring Road, suspect was found in possession of contraband substances.",High,PS022,OFF107,High,Acquitted,Yes,1,1,5,4,8
CASE076,Fraud,Financial Fraud,Accused impersonated a bank official to fraudulently transfer money from the victim's account.,High,PS041,OFF202,High,Convicted,Yes,2,2,2,2,11
CASE077,Cyber Crime,Identity Theft,Complainant received phishing messages and lost Rs. 238000 in an online scam.,Low,PS022,OFF106,Medium,Under Investigation,No,2,2,1,4,11
CASE078,Kidnapping,Kidnapping,The victim was abducted by unidentified persons in a vehicle from Bannimantap Bypass Road.,Medium,PS035,OFF172,Critical,Trial in Progress,Yes,3,1,4,2,9
CASE079,Cyber Crime,Identity Theft,Victim's social media account was hacked and misuse reported from Vidyaranyapura Double Road.,Medium,PS030,OFF147,Medium,Trial in Progress,Yes,2,2,2,3,11
CASE080,Vehicle Theft,Two Wheeler Theft,The victim noticed that their parked Hyundai Venue bearing registration number KA-09-RK-5317 was missing from near Chickpet 4th Bazaar Street.,Medium,PS009,OFF041,Medium,Under Investigation,No,1,1,3,4,9
CASE081,Robbery,Armed Robbery,An incident of Armed Robbery occurred near Banaswadi Bypass Road causing damage and loss.,Medium,PS027,OFF132,High,Case Committed to Court,Yes,1,1,3,2,11
CASE082,Fraud,Financial Fraud,The victim was cheated of Rs. 293000 by promising high returns on investment.,High,PS039,OFF192,High,Convicted,Yes,1,2,1,2,11
CASE083,Public Disorder,Rioting,A crowd assembled unlawfully near Museum Road and engaged in stone pelting and rioting.,Low,PS006,OFF026,Medium,Evidence Collection,No,3,3,5,2,12
CASE084,Cyber Crime,UPI Fraud,Victim's social media account was hacked and misuse reported from Vidyapeetha Circle Link Road.,Low,PS001,OFF001,Medium,Case Committed to Court,Yes,2,2,2,5,8
CASE085,Murder,Homicide,The victim was fatally attacked at Bellandur Main Road following a dispute.,High,PS011,OFF052,Critical,Under Investigation,No,2,1,6,4,14
CASE086,Vehicle Theft,Two Wheeler Theft,An unknown person stole the complainant's parked Hero HF Deluxe bearing registration number KA-21-PN-8382 from Yeshwanthpur Ring Road.,Low,PS023,OFF112,Medium,Under Investigation,No,1,1,3,2,10
CASE087,Sexual Offence,Sexual Assault,An unknown person assaulted the victim at a secluded spot near Peenya Temple Road.,Medium,PS018,OFF086,Critical,Under Investigation,No,1,1,3,5,11
CASE088,Sexual Offence,Sexual Assault,An unknown person assaulted the victim at a secluded spot near Domlur Station Road.,Medium,PS021,OFF101,Critical,Case Committed to Court,Yes,2,2,2,4,12
CASE089,Missing Person,Adult Missing,Complainant reported that their family member went missing from near Electronic City Flyover Road and remains untraceable.,High,PS003,OFF011,Critical,Under Investigation,No,1,0,2,1,6
CASE090,Assault,Grievous Assault,"An argument escalated near Sarjapur Road Cross Road, leading the accused to physically attack the complainant.",Medium,PS019,OFF091,High,Under Investigation,No,3,2,5,5,6
CASE091,Sexual Offence,Sexual Assault,An unknown person assaulted the victim at a secluded spot near Hebbal Flyover Road.,Medium,PS010,OFF046,Critical,Under Investigation,No,1,1,2,2,8
CASE092,Burglary,House Breaking,Accused broke into the shop at Mangaluru Junction Railway Station late at night and stole cash and items.,High,PS039,OFF192,High,Chargesheet Filed,Yes,1,1,3,3,7
CASE093,Robbery,Armed Robbery,An incident of Armed Robbery occurred near Hebbal Mysuru Lane causing damage and loss.,Medium,PS036,OFF177,High,Case Committed to Court,Yes,1,1,1,3,8
CASE094,Murder,Homicide,The victim was fatally attacked at Mangaluru Central Railway Station following a dispute.,Medium,PS042,OFF206,Critical,Registered,No,1,3,4,7,11
CASE095,Vehicle Theft,Two Wheeler Theft,The victim noticed that their parked Tata Tiago bearing registration number KA-31-MM-6061 was missing from near Nehru Nagar Junction Road.,Low,PS045,OFF221,Medium,Chargesheet Filed,Yes,1,1,1,3,6
CASE096,Domestic Violence,Physical Abuse,Complainant reported constant harassment and physical abuse at Hebbal Mysuru Lane.,Medium,PS031,OFF152,High,Chargesheet Filed,Yes,1,1,1,1,5
CASE097,Cyber Crime,UPI Fraud,Victim's social media account was hacked and misuse reported from GRS Fantasy Park.,Low,PS034,OFF167,Medium,Under Investigation,No,1,2,2,5,11
CASE098,Kidnapping,Kidnapping,"The child was reported missing from JP Nagar 7th Phase Link Road, later confirmed as a kidnapping call.",High,PS008,OFF036,Critical,Under Investigation,No,2,2,5,5,9
CASE099,Murder,Homicide,"A body was found near Gandhi Bazaar 5th Station Road with visible injury marks, suggesting homicide.",High,PS007,OFF031,Critical,Acquitted,Yes,2,3,4,6,11
