case_id,witn_id,witness_statement
CASE001,WITN415,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE001,WITN057,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE001,WITN640,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE001,WITN539,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE001,WITN197,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE002,WITN479,I was present in the meeting when the accused promised a double return on investment within six months.
CASE002,WITN140,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE003,WITN585,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE003,WITN613,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE004,WITN250,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE004,WITN619,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE005,WITN189,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE005,WITN261,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE006,WITN369,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE006,WITN075,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE007,WITN555,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE008,WITN589,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE009,WITN560,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE010,WITN128,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE010,WITN602,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE011,WITN033,I was present in the meeting when the accused promised a double return on investment within six months.
CASE012,WITN195,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE012,WITN255,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE012,WITN444,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE012,WITN469,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE013,WITN330,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE013,WITN260,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE014,WITN324,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE014,WITN435,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE015,WITN120,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE016,WITN276,I was present in the meeting when the accused promised a double return on investment within six months.
CASE017,WITN596,"The victim came to my house crying and showed me bruises on her arms, stating she had been beaten."
CASE017,WITN205,I witnessed the accused shouting aggressively and throwing household items at the complainant.
CASE017,WITN076,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE017,WITN241,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE018,WITN383,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE018,WITN092,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE019,WITN081,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE019,WITN562,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE020,WITN326,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE020,WITN534,I was present in the meeting when the accused promised a double return on investment within six months.
CASE021,WITN584,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE021,WITN586,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE021,WITN410,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE022,WITN461,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE022,WITN361,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE022,WITN519,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE023,WITN434,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE023,WITN626,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE023,WITN155,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE024,WITN440,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE024,WITN450,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE025,WITN553,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE025,WITN258,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE026,WITN368,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE026,WITN001,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE027,WITN486,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE027,WITN344,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE027,WITN283,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE027,WITN615,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE028,WITN038,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE028,WITN305,"The victim came to my house crying and showed me bruises on her arms, stating she had been beaten."
CASE028,WITN142,I witnessed the accused shouting aggressively and throwing household items at the complainant.
CASE029,WITN424,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE030,WITN465,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE030,WITN077,"The victim came to my house crying and showed me bruises on her arms, stating she had been beaten."
CASE031,WITN617,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE032,WITN103,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE033,WITN610,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE033,WITN531,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE034,WITN412,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE035,WITN239,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE035,WITN466,I was present in the meeting when the accused promised a double return on investment within six months.
CASE036,WITN538,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE036,WITN265,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE036,WITN471,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE036,WITN563,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE037,WITN094,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE037,WITN347,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE037,WITN213,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE038,WITN388,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE038,WITN448,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE039,WITN616,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE039,WITN556,I witnessed the accused shouting aggressively and throwing household items at the complainant.
CASE039,WITN209,"The victim came to my house crying and showed me bruises on her arms, stating she had been beaten."
CASE040,WITN632,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE040,WITN389,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE040,WITN024,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE041,WITN418,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE042,WITN203,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE042,WITN476,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE042,WITN139,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE042,WITN314,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE043,WITN345,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE043,WITN600,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE044,WITN356,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE045,WITN516,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE046,WITN204,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE047,WITN646,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE047,WITN377,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE048,WITN273,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE049,WITN644,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE050,WITN287,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE051,WITN559,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE051,WITN374,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE052,WITN399,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE052,WITN540,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE052,WITN404,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE053,WITN618,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE054,WITN187,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE054,WITN269,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE054,WITN047,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE054,WITN459,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE054,WITN475,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE055,WITN266,I was present in the meeting when the accused promised a double return on investment within six months.
CASE055,WITN521,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE055,WITN422,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE056,WITN375,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE057,WITN071,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE057,WITN628,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE057,WITN035,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE058,WITN472,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE058,WITN156,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE059,WITN067,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE059,WITN145,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE059,WITN168,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE059,WITN392,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE059,WITN575,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE060,WITN574,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE060,WITN122,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE060,WITN591,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE061,WITN648,"The victim came to my house crying and showed me bruises on her arms, stating she had been beaten."
CASE061,WITN236,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE061,WITN046,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE061,WITN301,"The victim came to my house crying and showed me bruises on her arms, stating she had been beaten."
CASE062,WITN132,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE062,WITN316,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE062,WITN026,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE062,WITN232,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE063,WITN308,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE063,WITN311,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE063,WITN508,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE064,WITN274,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE064,WITN090,I saw the missing individual walking towards the bus stand in the afternoon; they appeared quiet and did not talk to anyone.
CASE064,WITN234,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE065,WITN501,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE065,WITN439,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE065,WITN362,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE066,WITN360,I witnessed the accused shouting aggressively and throwing household items at the complainant.
CASE067,WITN293,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE068,WITN457,"I frequently heard loud shouting, physical altercations, and crying coming from their residence next door."
CASE069,WITN421,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE070,WITN160,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE070,WITN526,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE071,WITN405,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE071,WITN188,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE071,WITN365,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE071,WITN044,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE072,WITN588,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE072,WITN184,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE072,WITN384,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE072,WITN445,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE072,WITN504,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE072,WITN462,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE073,WITN432,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE073,WITN037,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE073,WITN606,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE074,WITN256,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE075,WITN463,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE075,WITN124,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE075,WITN458,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE075,WITN225,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE075,WITN211,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE076,WITN351,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE076,WITN430,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE077,WITN427,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE078,WITN135,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE078,WITN494,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE078,WITN202,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE078,WITN568,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE079,WITN629,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE079,WITN433,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE080,WITN064,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE080,WITN119,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE080,WITN543,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE081,WITN376,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE081,WITN065,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE081,WITN214,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE082,WITN502,The complainant told me that the agent took cash for registration and stopped responding to calls thereafter.
CASE083,WITN110,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE083,WITN487,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE083,WITN446,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE083,WITN069,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE083,WITN277,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE084,WITN041,I was present when the victim received the call from the person claiming to be a bank officer requesting the UPI PIN.
CASE084,WITN002,"I helped the complainant examine their email log, and we noticed several phishing emails originating from an unknown domain."
CASE085,WITN121,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE085,WITN027,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE085,WITN150,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE085,WITN023,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE085,WITN161,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE085,WITN185,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE086,WITN536,I was standing near the tea shop and saw a man standing close to the two-wheeler for about ten minutes before he rode off on it.
CASE086,WITN296,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE086,WITN111,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE087,WITN192,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE087,WITN257,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE087,WITN165,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE088,WITN320,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE088,WITN141,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE089,WITN438,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE089,WITN408,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
CASE090,WITN099,I heard a commotion and rushed out to see the victim bleeding from his forehead while the suspect fled the scene.
CASE090,WITN114,"A heated argument over parking escalated quickly, and I saw the accused strike the victim with a wooden stick."
CASE090,WITN130,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE090,WITN200,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE090,WITN148,I saw a group of people pushing the victim and kicking him after he fell to the ground.
CASE091,WITN039,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE091,WITN474,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE092,WITN167,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE092,WITN382,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE092,WITN507,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE093,WITN579,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE094,WITN451,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE094,WITN350,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE094,WITN342,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE094,WITN327,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE095,WITN176,I heard a vehicle ignition start suddenly and saw it being driven away in a very rash manner towards the main crossing.
CASE096,WITN431,"The victim came to my house crying and showed me bruises on her arms, stating she had been beaten."
CASE097,WITN253,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE097,WITN321,"The victim showed me the fraudulent SMS warning them about their bank account closure, which prompted them to click the link."
CASE098,WITN207,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE098,WITN175,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE098,WITN546,I was near the spot and saw the police team arriving to investigate and seal the area.
CASE098,WITN523,I heard a loud noise and saw some people running away from the scene in a state of panic.
CASE098,WITN453,I saw a crowd gathered at the location and heard people talking about a crime that had just occurred.
CASE099,WITN413,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE099,WITN263,"I heard loud arguments and screams coming from the house late at night, followed by the sound of a vehicle speeding off."
CASE099,WITN248,"I saw the suspect running away from the location holding something wrapped in a cloth, looking extremely nervous."
CASE099,WITN340,I noticed a suspicious person loitering near the spot around the time the incident is alleged to have occurred.
CASE100,WITN533,"I was parked nearby and noticed a person in a dark jacket tampering with the lock of the vehicle, but I thought it belonged to them."
CASE101,WITN021,I verified the transaction details on the computer and noticed the funds were redirected to a private account.
CASE102,WITN158,"The child was playing near the park gate, and a few minutes later, when I looked again, they were nowhere to be found."
CASE102,WITN307,"The individual left the office saying they would be back in an hour but did not return, and their phone was switched off."
